username,timestamp,tweet,retweetcount,lon,lat,country,name,address,type,placeURL
sstanley84,41673.39306,"WOW ... RT ""@TheStanchion: So in other news, Fleury just made a fraudulent investment on Karlsson. http://t.co/5Oi6iwaSHg",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
judemgreen,41673.39306,"2 HOUR wait  for the train at Superbowl? ""Time for some traffic problems""..Nice job Chris Christie!",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
WalkerWaveBack,41673.39306,RT @iLovePupsDaily: Chocolate pup http://t.co/wwoPWw6XGN,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
TeliyaJanay,41673.39306,Get to see @FaithStonexo tomorrow- weather permitting! Good luck babes ,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
justhorseracing,41673.39306,Rain Affair primed for return  http://t.co/nwFX5ceWDX,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
_TheRealJustice,41673.39306,Snow White http://t.co/yrTEHZaxZH,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
orcfish,41673.39306,RT @baddragon_en: @alphaloli Yum:),0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
KSlo23,41673.39306,Don't believe my last Super Bowl tweet read this !! http://t.co/1l7tzjbdzT     Seahawks are cheaters !,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
LATAMXINHUA,41673.39306,Heavy snow hits New York City. http://t.co/nASxb6lfOP http://t.co/2DpXIhghI5,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
IsThis0n,41673.39306,"Broncos fans are still like.... ""But.. But.. But.. You said the Seahawks can't win on the road?...""    Ha... #GoHawks #WorldChamps",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
CalGamble1878,41673.39306,@Everton do you think Bruno Mars' Superbowl performance was:A) CharismaticB) SassyOr..C) Super?,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
Chelss_98,41673.39306,RT @HotBoyzzzzs: I wouldn't mind go to swim with them even thou i can't swim lol... http://t.co/KZusDnXqNF,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
justinsbaby09,41673.39306,RT @leatherlaces: Madness! Justin Bieber is skateboarding through the party! #JustinBieber #SuperBowl #leatheran... http://t.co/w1ggudoUFE,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
L0ng_Live_68,41673.39306,@mightymouse128 hey just trying to see if tiu were in te states and had free time to train me for football. 8344664 is my moms #,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
EmFred3012,41673.39306,RT @PerfectlyPrepNE: Bean Boots are a necessity to conquer the snow,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
SGines_Brave22,41673.39306,RT @Studio92: Just the way you are #lalala @BrunoMars en el #SuperBowl ... Qu te pareci??? http://t.co/cNTygk0H7q,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
ron_meyer,41673.39306,On a related note winter is the worst,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
Mikelol,41673.39306,"JUST REALIZED ""Cleveland Brown"" from family guy's name was based on the football team. Jesus. Does everyone know about this?",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
nT_Invert,41673.39306,RT @FaZeCompetitive: Come watch us live as we play a match against tK in the @MLG Winter Invitational! The series is tied at 1-1: http://t.,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
SuNo_DilruBA,41673.39306,Chelange all ids on twitr 40404Best poetryNewsFaraz+wasiGhalib+iqbalSaqi+sagarOnly on Poetry Follow dubta_sooraj send 40404,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
takepilIs,41673.39306,snow makes me feel uneasy because I had a bad day on the first snow,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
zenMurr,41673.39306,RT @VyeOne: Doctors afraid to speak out..... http://t.co/3sTUhewcNG,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
_itskailaa,41673.39306,RT @culleygoode: I'm tired of this cold weather.,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
PaytonWeisman,41673.39306,RT @GirlsBooklet: my score on flappy bird is higher than the broncos score right now,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
MuhdMirzaQayyum,41673.39306,RT @DuvalMagic: Borderlands 2 is officially the best selling game in 2k's history. http://t.co/lPdtbSuexE,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
MeDicenPiia,41673.39306,"I never meant to star a war I just wanted you to let me in and instead of using force, I guess I should've let you in ",0,-69.9900263,18.47468,Unknown,Unknown,Unknown,Unknown,Unknown
ayy_mariana,41673.39306,Coach made practice extra hard today because the Broncos lost ,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
ClevverArmy,41673.39306,"RT @ClevverNews: .@MileyCyrus HATES kids, @justinbieber LOVES strippers and celebs have their own #SuperBowl fun on today's #DHR! http://t.",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
zarryxo_,41673.39306,Praying for snow days all week long and you never get them http://t.co/6mb1s9DtPa,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
daniellafano,41673.39306,"bubble bath, beyonce, & chocolate ice cream #iminheaven",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
JLBCoultMom,41673.39306,RT @FunRossGeller: Are the Broncos playing for the Geller Cup? http://t.co/72OzhI0jp4,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
2nd_To_None,41673.39306,Congress Jacking Up Heating Oil Prices During Record Cold Winter http://t.co/7m63T4y6Lm,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
glamurtv,41673.39306,ARY News 9 oclock 3rd February 2014 in High Quality Video By GlamurTv - http://t.co/FiOnHh8nri,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
Maceeeeey,41673.39306,"RT @JohnDavidBaby: Dear Winter ,I miss the river..Go away..#Thanks",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
actual360,41673.39306,Kerry  y su apoyo a Israel -- http://t.co/RPHRIudXdn,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
flawxupdate,41673.39306,"RT @JohnMoralesNBC6: January South Florida weather summary includes the #RidiculousDeluge in Palm Beach County. 22 inches, 15 in 3 hours! h",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
TSamrani,41673.39306,RT @MarkJWeather: 6 MORE WEEKS OF WINTER? Did you know Groundhogs can tread water for up to 3 hours? Then add peas & carrots and bring to a,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
gg_too,41673.39306,Sweater Weather,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
faabalexia,41673.39306,baseball or football player ill say yes ayy,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
4thAnon,41673.39306,US playing double game on Syria http://t.co/7S1c8mkd4r does @johnkerry want to start WWIII as the Olympic Games begin?,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
nickliewky,41673.39306,RT @NatAsasi: artikel saya berkenaan Kajang: Ketandusan ketelusan & demokrasi dalam PKR - http://t.co/yjISvtQjHk,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
ilovegolla,41673.39306,RT @Mikey15Carrillo: Quiero empezar un prank war.,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
mfox11,41673.39306,@weknowwhatsbest Hillary tweets while watching Fox news. She demonstrates her phone & pen are ready to answer 3AM call to Whitehouse. #2016,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
LbrarianBooker,41673.39306,Yo @Close2myDreams and @yours_truly4 check out your boy J-Lo the Hefty Lefty lookin good out there! http://t.co/PUI96hh8Lk,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
ellaaaa_cronin,41673.39306,RT @FunnyPicsDepot: Superbowl in one picture http://t.co/EMRxcT20oB,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
WarrenNagatani,41673.39306,Build your own custom bike at @republicbike #bike http://t.co/HENeo3lOPy,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
Darrensept,41673.39306,Headed up to strathmore this weekend. Going to be 1500 richer when I come back. Got my bike sold,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
KianaJB5804,41673.39306,Go download the @KicksOnFire app for sneaker news & release dates! http://t.co/eh3cFdW9H7 #KoFappl http://t.co/NcV63tGIR1,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
BreezyNvaSleezy,41673.39306,I hate how he drives in the snow. He think nothin bad could ever happen to him,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
restatesz23eDen,41673.39306,Jobless face increased heaattack risk BBC BBC News Jobless face increased heaattack,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
KrBaseballNews,41673.39306,",   ' '..   http://t.co/xEbzGTM7Jn",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
gonntigonnta,41673.39306,RT @TetsuoNomoto: # : http://t.co/VVxC9TQblU,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
DaniiUgalde1D,41673.39306,"RT @sandybeales: Saw the Superbowl show from @BrunoMars True performance, old school entertainment @jamareoartis smashing it as always http",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
NGourd,41673.39306,RT @IBTimesUK: A man was caught on CCTV having sex with a store mannequin after breaking into a shopping mall in #Brazil http://t.co/2CtWyA,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
hurricanesports,41673.39306,Want National Signing Day news as soon as it becomes official? Sign up here for text alerts: http://t.co/RIXSdPIUD0,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
desaivishal11,41673.39306,Wall Street Market Report http://t.co/f8L2I012q1 #news,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
Girl4RandyOrton,41673.39306,Missing the Rumble pay per view is like missing Christmas for me!,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
kingwonton,41673.39306,RT @MyDickIsCalled: My dick is called Seahawks Bandwagon because a lot of people are going to be riding it this year.,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
cargiaco14,41673.39306,@FayFay_1231 seriously if we have a snow day.,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
Johnathan_Parr,41673.39306,What even are the Winter Olympics?,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
Rec_Fiend,41673.39306,RT @JarrodRippy: @Rec_Fiend: I didn't even have a Valentine last year  Ol last Christmas I gave you my heart head mf! ,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
BarbieeBITCH_,41673.39306,"and I will love you baby, sun or rain",0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
Claricevtbv,41673.39306,@_Essie__ i love his bike http://t.co/3bE5X5Byur,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
AvilaStu,41673.39306,Go download the new @KicksOnFire app for sneaker news and release dates!http://t.co/BNUVt84GZc http://t.co/diSt9OyYq9,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
arachunnn,41673.39306,RT @MoySayss: ara would whine about having a snow day smdh,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
jessicafunk2014,41673.39306,Were getting more snow.  I can't take much more.,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
Gossip_Dawg,41673.39306,Zac Efron Was on a Six-Week Liquid Food Diet After Breaking His Jaw: &quot;I Lost Like 10-12... http://t.co/BgOWBJTcnB #JimmyKimmelLive,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
PrevodiNaPesni,41673.39306,Reba Mcentire - Love Needs A Holiday    http://t.co/6IOhPCXqdM,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
